iter,val_haversine_rmse_m,test_haversine_rmse_m
1,1855071.253099995,1502337.3817222822
2,1793775.6755685033,1454529.7260759491
3,1734387.819777622,1408331.2848474337
4,1677503.7154974765,1364236.829242731
5,1621969.9549128301,1321789.0011987814
6,1568847.7461859214,1281363.1732480943
7,1517691.9559740997,1242334.0787913897
8,1468034.9795209263,1205385.6901029272
9,1420741.1768091873,1170139.0933009842
10,1375425.2453415438,1136408.7157645326
11,1331759.6791093694,1103497.1314502486
12,1289734.2105845634,1071206.8533331908
13,1249708.4248913033,1040665.9814808924
14,1211356.1728818223,1011740.9951993774
15,1174676.1584448707,983500.1686348551
16,1139136.4994612422,956989.0335065625
17,1104766.8501228548,931526.9192480941
18,1071937.9904463175,906486.4857925506
19,1040323.3341233863,883411.3416147246
20,1010091.0778675494,861226.7122594399
21,981449.6921855496,839493.7016766546
22,953897.9641749498,818817.9882549521
23,927299.8372730991,799702.6070573584
24,901929.8871960129,781385.7968809005
25,877759.4634585055,764207.5466964579
26,854896.5817997274,747033.5219221984
27,832414.0738139385,731582.1024450455
28,811514.5184960575,716036.4600041838
29,791087.575203131,701656.6793790405
30,771534.837211818,688003.6872843266
31,753265.1063135542,674559.906101613
32,735247.6603434265,662650.2921358548
33,718644.4839556974,650784.884708838
34,702989.8855858579,639021.2197221934
35,687805.3909541628,628187.5269259061
36,672771.4031546473,618347.6676700705
37,658878.821776559,608620.6623320674
38,645556.9073737025,599416.5764370686
39,632845.5344643889,590545.4837673907
40,620896.356293929,582461.3447619878
41,609522.8876518633,574627.340749646
42,598792.15746692,567090.0327288134
43,588511.015521491,559492.0028687107
44,578432.6540075234,552474.7384700197
45,568838.9125426325,546499.4795857939
46,560124.281855608,540772.9089168215
47,551528.0457624099,535577.4898122343
48,543628.2266647399,530308.1855093209
49,536065.9843020795,525168.7120821776
50,529118.7326909626,520347.32908496505
51,522288.30494994833,515525.9682195488
52,515572.06267104874,511659.27617417235
53,509252.2067084899,507924.5218066135
54,503541.4927915359,504725.0223306916
55,498174.36901762895,501090.10512930085
56,493295.0066972467,497553.95852048945
57,488302.2767885245,494225.02748184436
58,483845.9082006159,491418.7438980785
59,479165.35874200973,488576.15485492715
60,475075.2799639838,486107.8866033496
61,471449.3455863868,482788.21970884263
62,467837.3040930026,479988.31945156166
63,464261.9256169741,476968.6740257629
64,460918.6860018982,474783.8490847665
65,458194.1591129371,472612.071423545
66,455217.5655759749,470732.38695894944
67,452410.8015475192,468684.2697606554
68,449844.47445036593,466976.3213418414
69,447564.9017134143,465675.09575468884
70,445221.06831763056,464057.2823682205
71,442721.90495863144,462191.7790771338
72,440471.8975237283,460539.6966214191
73,438703.7936574028,459400.32760942564
74,436386.8582062011,457778.29750644934
75,434612.03705331753,456925.5770459907
76,432942.81846917275,455825.9713421265
77,431424.75662242103,454794.32906137995
78,429954.7240792039,453417.8775930153
79,428529.36773520056,452667.79088194657
80,427093.3399219595,451594.32087657216
81,425915.66901256074,450503.83245424385
82,424449.9139087474,449562.07427236595
83,423289.2244414793,448460.8655179112
84,422069.12583319814,447633.01669837115
85,420725.9778546262,446219.22318450146
86,419918.7299401013,445182.6007898634
87,418893.48983366176,444195.7973752051
88,418197.97801181796,443251.9630287346
89,417088.34868450527,442416.1808927197
90,416338.69731461623,441709.5036319412
91,415660.9550345326,440713.7797514805
92,414820.721644633,439673.6420912294
93,413981.2018500718,438899.8194066796
94,413607.8153907671,438431.1218463488
95,412939.49151834846,437715.5603329292
96,412247.00702395575,437201.94362541556
97,411838.14631867065,436969.56237375847
98,411376.1132102103,436227.00561156333
99,410894.56975427177,435732.6404746364
100,410523.3392228853,435461.8409292058
101,410187.55200159503,435026.33497779706
102,409855.93187228957,434515.51714941807
103,409619.2284000991,434149.6228122229
104,409183.7680785222,433585.504973458
105,408849.25090673,433264.7954811147
106,408482.21865545696,432927.98851735255
107,408066.15128487843,432787.9073291472
108,407720.7015426266,432306.19266772765
109,407288.7996206896,432102.32761904056
110,406997.43360572745,431691.9450682465
111,406691.17275339854,431245.9219994745
112,406329.8021307802,430988.7952685602
113,406041.3309724079,430793.61252673424
114,405600.09164816927,430771.5633967935
115,404893.3337055626,430410.4628587065
116,404648.74282712187,429938.4314456512
117,404250.1853830627,429661.6608455637
118,403863.21678560606,429289.3663871674
119,403680.66907257616,429307.94793331693
120,403284.5050606839,428934.1542027544
121,403104.82864357857,428951.63478299155
122,402774.4928310244,428887.63803340064
