iter,val_haversine_rmse_m,test_haversine_rmse_m
1,1900885.5370244377,1915952.8008344094
2,1817034.6568992503,1829603.181732981
3,1738313.183451085,1748584.371875175
4,1663041.9393987544,1670834.5989858555
5,1592374.9641788858,1597648.4559619462
6,1524842.7527371016,1528448.063475517
7,1462169.9013857218,1463121.5353719303
8,1402786.508824281,1401984.1235628065
9,1346833.5406973588,1343359.0025701157
10,1293974.5135724652,1288847.2906932798
11,1244040.9756011527,1237050.6714641028
12,1197084.8424925033,1188020.7260100385
13,1152757.8614131059,1141756.7901133113
14,1111255.9899828176,1098520.9324384932
15,1072869.0443697937,1058198.270795351
16,1036638.504095041,1020657.824277749
17,1002341.3500132972,984184.4144832641
18,969957.3126508947,950001.6853554813
19,939953.2208716184,918030.3969724448
20,911940.1033770943,888108.6759312748
21,886054.3459227643,860066.6949882817
22,861089.4642380562,834192.4982560528
23,837486.8134948502,808828.2726861887
24,815941.2365069326,786183.0933812354
25,795520.9520382651,764595.6805903602
26,777154.7940920659,744774.0907872984
27,759342.2976860168,725231.0018651449
28,743144.3906871614,707781.5827432668
29,727316.4052770023,690712.9724799596
30,712655.317601708,674766.1342405152
31,699391.9788559631,660644.1719810978
32,686998.2910476441,647034.5021253488
33,675820.6558859717,634789.1436491252
34,665404.1517078424,623471.1778681076
35,655776.1663528589,612893.948828124
36,647122.1925936056,603174.1781081411
37,638785.4775457156,593420.9689008204
38,631194.0025993771,584656.8742477498
39,624360.5541009422,577216.5203760125
40,617550.6201244715,569719.7543609396
41,612072.2087153154,563690.8866312118
42,606484.3391117819,556713.6240557382
43,601563.5329954398,550786.6903806425
