epoch,train_mse,train_ce,val_mse,val_ce,val_mean_m,val_median_m,val_rmse_m,val_p25,val_p75,val_p95,test_mean_m,test_median_m,test_rmse_m,test_p25,test_p75,test_p95
1,0.9721080559998829,3.1934601652528194,0.9817372768297108,3.1036564472618453,1614657.375,1634092.25,1798594.125,1055269.3125,2202255.5,2914292.775,1207055.5,1131636.875,1398306.0,672149.34375,1631688.0,2337275.2499999986
2,0.7239218556912295,3.0486320559128033,0.4950526278317886,2.6133483965462503,1169823.375,1275203.25,1292119.875,658574.34375,1621774.5,1882873.8375,826538.0625,715014.875,973414.8125,431819.421875,1153943.3125,1760943.2374999998
3,0.3457103171414393,2.664521049763632,0.1974401781819647,1.7406519377997163,681229.3125,557036.6875,812766.3125,350664.84375,925285.03125,1528178.7125,618210.5,573792.1875,695565.5625,396136.234375,786662.1875,1152437.1499999997
4,0.19860028243712644,2.3310280387386952,0.14631431596496053,1.5755832785860113,553625.25,478412.15625,688752.0625,244928.1328125,738813.09375,1303527.9499999997,530275.625,488763.375,606277.8125,361069.359375,619339.125,1049016.9374999986
5,0.1708464334922125,2.1171839653035196,0.13170982643232798,1.4476520198565375,493045.625,395982.5,636910.8125,211124.0234375,648672.0625,1274520.075,548492.75,506097.03125,629913.75,318403.296875,717486.5,1068836.1437499989
6,0.16537784766095653,1.9640424854393908,0.11653640838938022,1.387561063154028,468639.3125,380912.6875,586229.0,215716.1328125,663103.90625,1051261.7749999992,535787.75,513279.46875,605486.1875,339181.0,663869.8125,1015878.587499999
7,0.15882594946128667,1.8587795339270081,0.11556814520958732,1.345855892251391,459760.625,353665.0,589873.8125,231123.0703125,567201.3125,1144896.825,507698.0625,462925.625,583976.625,290154.1875,667706.15625,954283.6562499999
8,0.15471207703105408,1.770258267128499,0.09965881677942538,1.3357994680375498,427561.59375,355995.75,543431.25,181607.9453125,577170.53125,961434.3874999998,483923.6875,446095.96875,548885.5625,289322.765625,609797.53125,916454.7124999996
9,0.14907615274634933,1.7139569681846292,0.0953813055444748,1.308226043842619,425173.4375,353045.90625,530846.0625,187283.265625,573428.25,982507.9624999999,475063.5625,445039.90625,537492.0625,304750.234375,621186.3125,877759.5749999998
10,0.15082171712785725,1.6615929226411423,0.09578007827042986,1.3176427244775522,412683.9375,321966.5,518262.125,194540.53125,535082.90625,999687.4874999998,488206.71875,429680.375,570620.4375,288453.078125,617586.0625,1109393.0874999992
11,0.1520001059373568,1.6361510970945634,0.08888930941302478,1.3135833336034681,407463.90625,350003.53125,503941.59375,196608.0234375,525156.3125,968854.4437499994,469224.5,409201.71875,540971.875,283499.6875,605763.15625,996640.93125
12,0.14333585850848743,1.6004968840860674,0.08418256377043709,1.2722724054794792,386715.03125,311950.09375,494626.03125,174383.1796875,517298.640625,1004008.0687499999,481296.65625,465810.15625,574443.6875,254532.7734375,622479.65625,1135043.3874999997
13,0.14392721715018375,1.581447167526098,0.08541513425767969,1.2723886833870812,397151.0625,350768.71875,496081.375,187393.7265625,504199.421875,1016454.5499999998,470107.0625,430252.59375,537110.0625,304188.71875,557362.90625,976118.8124999997
14,0.1441109006429429,1.5624090075806292,0.08553100799976504,1.2739947412721244,398510.9375,331138.71875,496396.75,191102.3125,512357.578125,980256.3187499999,449749.9375,410302.0625,517066.125,266811.96875,587487.71875,941793.4874999998
15,0.14409691348058107,1.5418406477317175,0.08705241730955034,1.249040082712239,405886.65625,339802.0,505288.75,184259.53125,545668.96875,961037.9937499998,457528.625,413584.09375,521325.6875,273911.03125,597937.875,847319.5437499998
16,0.14136725711806838,1.52535991518253,0.0850263032093872,1.2514785816949943,396932.65625,328924.0,495288.875,197356.546875,505143.203125,1017717.3999999991,473539.75,431418.28125,559721.375,275456.375,611667.21875,1103180.5124999993
17,0.14450293448961796,1.5041209509454203,0.08325290596198051,1.2184883659343813,413355.15625,330241.65625,495603.375,231885.578125,560988.25,945733.2999999999,439320.15625,377136.8125,502929.0625,283619.75,557946.8125,905909.5249999996
18,0.14098070064309812,1.4907390339974245,0.07992551487155646,1.2420935166874383,378553.625,297391.5,479610.71875,195769.0625,466048.484375,1004787.9437499996,441468.375,398431.0,513696.125,265990.71875,545100.9375,977995.3437499999
19,0.13881850502503534,1.471710045853798,0.0775544546795183,1.2099304980774972,378195.25,289495.6875,471994.09375,195399.0703125,482153.671875,923562.2874999997,436554.4375,382200.0,502578.0,265557.8125,554682.03125,879272.28125
20,0.13856939096444537,1.4588035347167072,0.07983149817093797,1.2230260907971393,386496.6875,325911.3125,482504.59375,188674.4296875,501425.0,997009.6937499997,439773.375,410016.96875,508959.34375,256067.6171875,549610.15625,862218.1875
21,0.13748407358667705,1.444751602113508,0.07678599039303417,1.1965688441154498,374720.65625,300365.1875,469101.625,196702.65625,465267.546875,940149.2562499996,427939.53125,376441.4375,492445.59375,264365.90625,520602.921875,862906.8749999998
22,0.1389140634422862,1.4405283833887366,0.09057988442298287,1.2046536228136053,423227.59375,357604.40625,519890.40625,237542.3828125,520686.796875,986217.1875,459626.0,427756.1875,519490.46875,324937.0625,579901.90625,859286.3624999997
23,0.1392284257567629,1.4173080438485175,0.07749008831627872,1.1865063913777791,374929.53125,290065.0,468401.5625,205018.21875,455508.234375,950536.4437499996,439339.53125,377750.3125,515269.15625,252950.828125,577952.3125,1031822.9187499994
24,0.13688598305483224,1.4040824756822912,0.07575664697756096,1.1803893497785474,368166.59375,291898.28125,466375.375,183886.3671875,450023.8125,927243.8249999997,435276.5,385298.8125,506287.9375,255299.46875,547634.09375,934914.46875
25,0.13699694888749528,1.3899952403084423,0.07619545213445246,1.1427036919976394,370836.53125,298353.71875,464764.03125,189248.3515625,457544.53125,973683.9374999995,429931.8125,377348.53125,498365.65625,256492.4296875,552201.0625,960071.6124999998
26,0.13816185182615082,1.374462688209507,0.08368548043413994,1.1725233402364854,415383.5,352280.46875,491530.96875,241439.4375,515576.5,889788.2249999999,432771.9375,392799.71875,494858.8125,271067.625,536578.3125,893022.7749999999
27,0.1383690730285791,1.3519312056609145,0.07770219674214311,1.1684259831428667,383031.28125,317250.53125,474073.3125,188178.703125,494720.6875,903594.2874999997,418985.6875,383057.34375,487448.875,231651.953125,534986.71875,878485.1312499996
28,0.13672770177137422,1.327521620770487,0.07838036069811666,1.1734902005504164,394057.53125,323543.46875,478451.09375,213768.921875,488945.546875,921754.85,432469.53125,411320.53125,498954.40625,243164.109375,551015.59375,848136.9312499998
29,0.1404004784449478,1.3178208115642056,0.0782828642744628,1.164200459029764,381442.90625,290278.1875,478090.21875,190027.671875,520171.4375,955832.5187499996,424639.40625,374551.125,485551.5,264716.0625,537155.78125,814773.7687499996
30,0.13706651811898538,1.3048986962340987,0.07853517076427784,1.1398521245445483,375047.84375,302537.03125,478859.8125,160417.21875,497636.203125,968729.1499999999,432376.625,388231.21875,506710.96875,224732.53125,574705.75,870111.9437499997
31,0.13441151049148087,1.285548231039624,0.07507880712184337,1.1743838535143818,367328.28125,278965.8125,465960.59375,177973.6484375,460362.6875,951922.5749999998,422672.46875,385327.96875,490624.75,247165.203125,535690.03125,854292.2124999999
32,0.13364537933957252,1.2743720238298621,0.07427548359658011,1.1640186192706692,366748.0625,282086.4375,464262.4375,167282.1015625,461007.8125,958335.88125,418384.03125,394303.9375,489514.28125,230989.859375,541618.9375,832353.9374999995
33,0.13251794134833958,1.2576016011100188,0.07301776573654344,1.1303564557664678,367504.15625,284275.0625,460873.0625,178546.09375,453506.75,938007.41875,413396.65625,366919.5625,485992.78125,224829.640625,546997.59375,863812.0562499994
34,0.1334136010039072,1.2461738600007908,0.0776450144360554,1.1411303642030737,377750.03125,311461.03125,477957.3125,182816.015625,473190.0625,938064.3624999993,445156.875,381033.3125,522568.3125,255017.3203125,575249.40625,923277.2812499998
35,0.13248056103128492,1.2380335102156523,0.0784755199805859,1.1559640190169638,390008.5,325444.90625,485416.34375,191844.6953125,507949.546875,957652.2624999993,444994.5,411908.78125,522224.25,241552.953125,593506.03125,913921.5437499993
36,0.13373761656094182,1.2187979037462882,0.07687460803156235,1.1357688020809058,379472.0625,315823.84375,474706.625,192737.8359375,480481.953125,961156.1124999997,423618.5,359022.09375,491452.84375,250839.125,542746.40625,875291.0249999997
37,0.13333744779033269,1.2078646586507584,0.07382048230151153,1.1501699933933167,369344.59375,290684.0,465045.8125,180244.8671875,470331.359375,942393.99375,424652.71875,374302.03125,495776.25,226805.7734375,550205.1875,899706.35
38,0.1361260293843347,1.1937209146258916,0.07362161972061575,1.136995398227997,362919.78125,296930.46875,465861.125,160303.3046875,469233.09375,933253.1749999999,407930.125,369848.5625,489870.3125,213814.5625,525715.03125,916491.2624999987
39,0.13214526518095385,1.1958157626502248,0.07484022956284543,1.1355346598518608,374380.5625,315634.1875,470086.5,181385.9140625,456389.703125,945400.41875,423763.28125,371677.15625,496610.71875,248220.8203125,529707.90625,886837.4937499993
40,0.13365891473947336,1.1856544437792926,0.07441652338348033,1.1503667014413186,369750.25,289982.0625,468165.0625,168351.5703125,471068.046875,931534.6187499998,402205.375,352534.1875,478671.5,219920.3984375,538787.8125,835967.6437499999
41,0.1299406234158642,1.168624658630565,0.0743702767980755,1.1275772218413036,374710.5,292990.375,468067.125,184841.2890625,479991.390625,972611.1499999998,426066.96875,375344.21875,507025.125,221046.0859375,556200.46875,909489.5874999991
42,0.1322924983765241,1.1651663593719341,0.07204256834467981,1.13678341314648,375655.5,288414.75,464561.84375,202402.390625,474920.515625,932942.4749999997,411488.90625,370993.125,488699.1875,230167.6328125,527961.65625,862086.03125
43,0.13289317901358075,1.1547596856860296,0.07371254076195784,1.1209670298274277,385055.8125,322331.84375,468401.3125,204617.2734375,486527.96875,926610.1312499999,412712.90625,356268.3125,480211.0625,258443.3359375,523300.390625,826974.6187499997
44,0.13175969166676274,1.146100467699437,0.07335949243709947,1.1372139836499178,374563.84375,309381.09375,462221.5,191888.453125,471919.375,878816.4312499999,398954.71875,351155.28125,480910.96875,202644.78125,517877.078125,885969.3687499986
