number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_boosting_type,params_early_stopping_rounds,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_depth,params_min_data_in_leaf,params_n_estimators,params_num_leaves,state
0,9603238.922347471,2025-10-12 17:27:58.108375,2025-10-12 17:28:06.733213,0 days 00:00:08.624838,0.9458865003910399,10,dart,70,0.7187936056313462,3.8344151882577773,7.917250380826646,0.07768811685516967,11,48,840,76,COMPLETE
1,488156.5402853505,2025-10-12 17:28:06.734091,2025-10-12 17:28:08.165814,0 days 00:00:01.431723,0.989309171116382,8,gbdt,75,0.9350060741234096,4.6147936225293185,7.805291762864554,0.013449326615130807,13,85,265,17,COMPLETE
2,6226025.261000447,2025-10-12 17:28:08.166435,2025-10-12 17:28:20.037035,0 days 00:00:11.870600,0.7842169744343243,1,dart,97,0.7280751661082743,6.176354970758771,6.120957227224214,0.05899745093938507,13,34,964,61,COMPLETE
3,412098.8702818244,2025-10-12 17:28:20.037688,2025-10-12 17:28:23.553699,0 days 00:00:03.516011,0.6051912805369204,2,gbdt,61,0.8353189348090797,3.1542835092418384,3.637107709426226,0.04421291893432149,11,15,898,93,COMPLETE
4,495170.61492085323,2025-10-12 17:28:23.554410,2025-10-12 17:28:24.868950,0 days 00:00:01.314540,0.6222127960008014,2,gbdt,43,0.7331553864281531,1.1037514116430513,6.563295894652734,0.020348682523113566,6,69,293,33,COMPLETE
5,2441024.694555567,2025-10-12 17:28:24.869523,2025-10-12 17:28:30.586358,0 days 00:00:05.716835,0.9883805440951685,7,dart,38,0.7343256008238508,7.3926357939830165,0.39187792254320675,0.013913306689277032,15,18,496,109,COMPLETE
6,409300.95476054953,2025-10-12 17:28:30.586943,2025-10-12 17:28:36.862111,0 days 00:00:06.275168,0.6326947454697227,6,gbdt,52,0.7833007271032876,0.9394051075844168,5.759464955561793,0.029491693580715773,12,15,1401,61,COMPLETE
7,435308.0453866903,2025-10-12 17:28:36.862742,2025-10-12 17:28:41.747033,0 days 00:00:04.884291,0.9144700146086815,1,gbdt,98,0.5100537730937468,6.778165367962301,2.7000797319216483,0.11431471515815911,10,26,1130,47,COMPLETE
8,9614229.747869965,2025-10-12 17:28:41.747653,2025-10-12 17:28:48.117056,0 days 00:00:06.369403,0.923204336235564,7,dart,92,0.7235626893088136,2.9743695085513364,8.137978197024772,0.07490619216006572,15,30,655,79,COMPLETE
9,8755292.820860578,2025-10-12 17:28:48.117645,2025-10-12 17:29:00.180354,0 days 00:00:12.062709,0.7119275242790899,7,dart,50,0.8219950996148186,0.19193198309333526,3.0157481667454933,0.10542731138963099,15,55,1024,96,COMPLETE
