number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_epochs,params_hidden_size,params_learning_rate,params_num_layers,params_seq_len,state
0,486189.96875,2025-10-12 17:32:51.297557,2025-10-12 17:32:56.535167,0 days 00:00:05.237610,128,0.19172075941288885,93,256,0.0038322168504927863,3,1,COMPLETE
1,483499.03125,2025-10-12 17:32:56.536433,2025-10-12 17:33:03.261754,0 days 00:00:06.725321,128,0.3995792821083618,124,256,0.0008374496868436813,3,1,COMPLETE
2,561947.5,2025-10-12 17:33:03.262388,2025-10-12 17:33:07.483315,0 days 00:00:04.220927,512,0.28421697443432425,104,256,0.00010903843281968532,2,1,COMPLETE
3,608421.5,2025-10-12 17:33:07.483926,2025-10-12 17:33:09.792030,0 days 00:00:02.308104,256,0.3353189348090797,45,128,0.0002634905974115614,3,1,COMPLETE
4,549976.75,2025-10-12 17:33:09.792588,2025-10-12 17:33:10.912612,0 days 00:00:01.120024,256,0.12664580126989106,59,32,0.000856291327881824,2,1,COMPLETE
5,500981.8125,2025-10-12 17:33:10.913273,2025-10-12 17:33:12.969869,0 days 00:00:02.056596,256,0.048049203946981534,86,128,0.008972612866432512,3,1,COMPLETE
6,1469709.125,2025-10-12 17:33:12.970472,2025-10-12 17:33:13.655079,0 days 00:00:00.684607,64,0.20713149725733498,113,128,0.00013436773384110736,1,1,PRUNED
7,522734.59375,2025-10-12 17:33:13.655719,2025-10-12 17:33:15.067158,0 days 00:00:01.411439,64,0.35816360205928277,52,64,0.000379150982653768,1,1,COMPLETE
8,478413.96875,2025-10-12 17:33:15.067735,2025-10-12 17:33:17.045231,0 days 00:00:01.977496,256,0.28807866720891845,99,256,0.001527861060707709,1,1,COMPLETE
9,505030.65625,2025-10-12 17:33:17.045985,2025-10-12 17:33:18.891428,0 days 00:00:01.845443,128,0.29063643631792935,113,128,0.005800570688908555,3,1,COMPLETE
10,1577749.125,2025-10-12 17:33:18.891977,2025-10-12 17:33:19.332116,0 days 00:00:00.440139,512,0.4648201775139152,148,32,0.0024752193295672583,1,1,PRUNED
11,482818.09375,2025-10-12 17:33:19.332603,2025-10-12 17:33:22.574873,0 days 00:00:03.242270,128,0.4519335425161261,140,256,0.0012404264528951844,2,1,COMPLETE
12,473974.1875,2025-10-12 17:33:22.575413,2025-10-12 17:33:28.150889,0 days 00:00:05.575476,128,0.4935341499872285,145,256,0.0017768386573543018,2,1,COMPLETE
13,472420.75,2025-10-12 17:33:28.151539,2025-10-12 17:33:30.601600,0 days 00:00:02.450061,256,0.48338897316799856,74,256,0.0016646690436005133,1,1,COMPLETE
14,725339.625,2025-10-12 17:33:30.602167,2025-10-12 17:33:31.221985,0 days 00:00:00.619818,256,0.4904977752522262,74,64,0.0024120695027936246,2,1,PRUNED
15,490187.375,2025-10-12 17:33:31.222442,2025-10-12 17:33:32.498383,0 days 00:00:01.275941,128,0.4045254853476371,30,256,0.0006682236627845808,1,1,COMPLETE
16,625245.625,2025-10-12 17:33:32.498921,2025-10-12 17:33:33.243121,0 days 00:00:00.744200,512,0.4152883630823151,71,256,0.0021825688326447394,2,1,PRUNED
17,467646.21875,2025-10-12 17:33:33.243702,2025-10-12 17:33:38.361648,0 days 00:00:05.117946,64,0.4885492094529929,130,256,0.00047001624115614737,1,1,COMPLETE
18,1250085.0,2025-10-12 17:33:38.362229,2025-10-12 17:33:38.868621,0 days 00:00:00.506392,64,0.00922503954455317,130,32,0.00043640207415339394,1,1,PRUNED
19,1437738.0,2025-10-12 17:33:38.869153,2025-10-12 17:33:39.432295,0 days 00:00:00.563142,64,0.3573561617459369,70,64,0.00018186321627511106,1,1,PRUNED
20,468112.4375,2025-10-12 17:33:39.432837,2025-10-12 17:33:43.561956,0 days 00:00:04.129119,64,0.4241616152147431,84,256,0.0005252667247762895,1,1,COMPLETE
21,462902.5625,2025-10-12 17:33:43.562600,2025-10-12 17:33:48.010329,0 days 00:00:04.447729,64,0.4264473925017123,82,256,0.0005400504005064454,1,1,COMPLETE
22,467088.8125,2025-10-12 17:33:48.011075,2025-10-12 17:33:52.661624,0 days 00:00:04.650549,64,0.43696871404492094,88,256,0.00051242456456174,1,1,COMPLETE
23,526252.75,2025-10-12 17:33:52.662261,2025-10-12 17:33:53.532406,0 days 00:00:00.870145,64,0.44426759398509014,110,256,0.00029610542213717446,1,1,PRUNED
24,461137.21875,2025-10-12 17:33:53.532889,2025-10-12 17:33:58.337559,0 days 00:00:04.804670,64,0.3642001573716056,91,256,0.0006215667523711498,1,1,COMPLETE
25,584682.6875,2025-10-12 17:33:58.338403,2025-10-12 17:33:59.210955,0 days 00:00:00.872552,64,0.37301078231571416,84,256,0.00021466997298263252,1,1,PRUNED
26,464521.3125,2025-10-12 17:33:59.211456,2025-10-12 17:34:06.933831,0 days 00:00:07.722375,64,0.32743284889723545,94,256,0.0006665871384481708,2,1,COMPLETE
27,645142.375,2025-10-12 17:34:06.934481,2025-10-12 17:34:07.606553,0 days 00:00:00.672072,64,0.3322037567378211,98,32,0.0010340806448329667,2,1,PRUNED
28,569793.4375,2025-10-12 17:34:07.607197,2025-10-12 17:34:08.437403,0 days 00:00:00.830206,64,0.24453034033295373,63,64,0.0007497495275590677,2,1,PRUNED
29,477427.15625,2025-10-12 17:34:08.437915,2025-10-12 17:34:15.621803,0 days 00:00:07.183888,64,0.3183332027503719,95,256,0.00032040769496023637,2,1,PRUNED
30,463327.09375,2025-10-12 17:34:15.622407,2025-10-12 17:34:24.615152,0 days 00:00:08.992745,64,0.23398641356980696,81,256,0.0006148372194087632,2,1,COMPLETE
31,459367.8125,2025-10-12 17:34:24.617363,2025-10-12 17:34:34.146977,0 days 00:00:09.529614,64,0.228950204012432,83,256,0.0006217347967792047,2,1,COMPLETE
32,472596.78125,2025-10-12 17:34:34.148188,2025-10-12 17:34:45.661104,0 days 00:00:11.512916,64,0.15804060222541624,77,256,0.0010900556067953567,3,1,COMPLETE
33,461504.84375,2025-10-12 17:34:45.662390,2025-10-12 17:34:54.261269,0 days 00:00:08.598879,64,0.23571304300337925,80,256,0.0006328429202125957,2,1,COMPLETE
34,460120.1875,2025-10-12 17:34:54.261855,2025-10-12 17:35:00.944012,0 days 00:00:06.682157,64,0.18519036986522236,63,256,0.000882773919933243,2,1,COMPLETE
35,938221.5625,2025-10-12 17:35:00.944699,2025-10-12 17:35:01.717748,0 days 00:00:00.773049,512,0.16099161130673859,62,256,0.0008497157237353019,2,1,PRUNED
36,478583.375,2025-10-12 17:35:01.718253,2025-10-12 17:35:07.654729,0 days 00:00:05.936476,64,0.21053280502083813,43,256,0.0033137369784535316,3,1,COMPLETE
37,453475.0,2025-10-12 17:35:07.655297,2025-10-12 17:35:14.965870,0 days 00:00:07.310573,64,0.1230304651795222,106,128,0.0013271748871217619,2,1,COMPLETE
38,1111725.25,2025-10-12 17:35:14.966802,2025-10-12 17:35:15.736405,0 days 00:00:00.769603,512,0.10366351317275127,105,128,0.0013570604924249123,3,1,PRUNED
39,459301.75,2025-10-12 17:35:15.736940,2025-10-12 17:35:23.488655,0 days 00:00:07.751715,64,0.09972546704686196,117,128,0.0009734001397858319,2,1,COMPLETE
40,461267.1875,2025-10-12 17:35:23.489252,2025-10-12 17:35:26.295257,0 days 00:00:02.806005,64,0.07936566210957269,124,128,0.004386089476938264,2,1,COMPLETE
41,461998.875,2025-10-12 17:35:26.295855,2025-10-12 17:35:32.140087,0 days 00:00:05.844232,64,0.15677746883155172,119,128,0.0010315399858343264,2,1,COMPLETE
42,466196.84375,2025-10-12 17:35:32.141040,2025-10-12 17:35:37.804221,0 days 00:00:05.663181,64,0.1266580663960128,104,128,0.000863507497781298,2,1,PRUNED
43,457771.28125,2025-10-12 17:35:37.804852,2025-10-12 17:35:43.827108,0 days 00:00:06.022256,64,0.1816160987028975,91,128,0.0012642399222184014,2,1,COMPLETE
44,468271.59375,2025-10-12 17:35:43.827880,2025-10-12 17:35:47.524919,0 days 00:00:03.697039,64,0.19323847024226964,54,128,0.0012710134677778426,2,1,COMPLETE
45,577392.5625,2025-10-12 17:35:47.525484,2025-10-12 17:35:48.185813,0 days 00:00:00.660329,256,0.07271694825970498,118,128,0.0018808042907111839,2,1,PRUNED
46,510755.1875,2025-10-12 17:35:48.186397,2025-10-12 17:35:48.984355,0 days 00:00:00.797958,128,0.12816850566317528,104,128,0.001442984996542726,2,1,PRUNED
47,468595.3125,2025-10-12 17:35:48.984900,2025-10-12 17:35:52.449290,0 days 00:00:03.464390,64,0.17464947534150888,110,128,0.0028614152574970428,2,1,COMPLETE
48,1431113.375,2025-10-12 17:35:52.449858,2025-10-12 17:35:53.107222,0 days 00:00:00.657364,512,0.26560391516840665,68,128,0.0009048583358171032,2,1,PRUNED
49,603659.375,2025-10-12 17:35:53.107717,2025-10-12 17:35:53.775931,0 days 00:00:00.668214,256,0.21376287410732034,131,128,0.0019167870490078612,2,1,PRUNED
